query,intent,language,topic,expected_document
What is CSE?,course_information,English,course_information,admission_process.txt
CSE kya hai?,course_information,Hinglish,course_information,admission_process.txt
What is ECE?,course_information,English,course_information,admission_process.txt
ECE kya hota hai?,course_information,Hinglish,course_information,admission_process.txt
What is EEE?,course_information,English,course_information,admission_process.txt
EEE kya hota hai?,course_information,Hinglish,course_information,admission_process.txt
What is Mechanical Engineering?,course_information,English,course_information,admission_process.txt
Mechanical engineering kya hai?,course_information,Hinglish,course_information,admission_process.txt
What is Civil Engineering?,course_information,English,course_information,admission_process.txt
Civil engineering kya hai?,course_information,Hinglish,course_information,admission_process.txt
What is CSE AI ML?,course_information,English,course_information,admission_process.txt
AI ML kya hai?,course_information,Hinglish,course_information,admission_process.txt
What is Dairy Technology?,course_information,English,course_information,admission_process.txt
Dairy Technology kya hai?,course_information,Hinglish,course_information,admission_process.txt
What is Drone Technology?,course_information,English,course_information,admission_process.txt
Drone technology kya hai?,course_information,Hinglish,course_information,admission_process.txt
What is Agricultural Engineering?,course_information,English,course_information,admission_process.txt
Agricultural engineering kya hai?,course_information,Hinglish,course_information,admission_process.txt
What is Aeronautical Engineering?,course_information,English,course_information,admission_process.txt
Aeronautical engineering kya hai?,course_information,Hinglish,course_information,admission_process.txt
Where do I start the application?,admission_process,English,admission_process,admission_process.txt
How does admission work?,admission_process,English,admission_process,admission_process.txt
Admission kaise hoga?,admission_process,Hinglish,admission_process,admission_process.txt
Form bharne ka process batao,admission_process,Hinglish,admission_process,admission_process.txt
Application steps kya hain?,admission_process,Hinglish,admission_process,admission_process.txt
How do I submit my form?,admission_process,English,admission_process,admission_process.txt
Portal par apply kaise karun?,admission_process,Hinglish,admission_process,admission_process.txt
What happens after I apply?,admission_process,English,admission_process,admission_process.txt
Admission ke baad kya hota hai?,admission_process,Hinglish,admission_process,admission_process.txt
Can I apply online?,admission_process,English,admission_process,admission_process.txt
Online admission kaise lete hain?,admission_process,Hinglish,admission_process,admission_process.txt
How do I confirm my seat?,admission_process,English,admission_process,admission_process.txt
Seat confirm kaise hogi?,admission_process,Hinglish,admission_process,admission_process.txt
Where is the application portal?,admission_process,English,admission_process,admission_process.txt
Application portal kahan hai?,admission_process,Hinglish,admission_process,admission_process.txt
What is the enrollment process?,admission_process,English,admission_process,admission_process.txt
Enrollment kaise hota hai?,admission_process,Hinglish,admission_process,admission_process.txt
How do I register as a new student?,admission_process,English,admission_process,admission_process.txt
Naye student ka registration kaise hoga?,admission_process,Hinglish,admission_process,admission_process.txt
How do I fill the admission form?,admission_process,English,admission_process,admission_process.txt
Who is eligible for B.Tech?,eligibility,English,eligibility,eligibility.txt
Can I apply after Class 12?,eligibility,English,eligibility,eligibility.txt
12th ke baad apply kar sakte hain?,eligibility,Hinglish,eligibility,eligibility.txt
B.Tech ke liye kaun eligible hai?,eligibility,Hinglish,eligibility,eligibility.txt
Is PCM required?,eligibility,English,eligibility,eligibility.txt
PCM compulsory hai kya?,eligibility,Hinglish,eligibility,eligibility.txt
Is Mathematics needed for engineering?,eligibility,English,eligibility,eligibility.txt
Maths hona zaroori hai kya?,eligibility,Hinglish,eligibility,eligibility.txt
Can a diploma student apply?,eligibility,English,eligibility,eligibility.txt
Diploma student apply kar sakta hai?,eligibility,Hinglish,eligibility,eligibility.txt
What marks are required in Class 12?,eligibility,English,eligibility,eligibility.txt
12th mein kitne marks chahiye?,eligibility,Hinglish,eligibility,eligibility.txt
Can a student awaiting results apply?,eligibility,English,eligibility,eligibility.txt
Result pending ho to apply kar sakte hain?,eligibility,Hinglish,eligibility,eligibility.txt
Is there an age limit?,eligibility,English,eligibility,eligibility.txt
Age limit kya hai?,eligibility,Hinglish,eligibility,eligibility.txt
Are equivalent qualifications accepted?,eligibility,English,eligibility,eligibility.txt
Equivalent qualification chalegi kya?,eligibility,Hinglish,eligibility,eligibility.txt
Can I apply without Physics?,eligibility,English,eligibility,eligibility.txt
Physics ke bina apply kar sakte hain?,eligibility,Hinglish,eligibility,eligibility.txt
What is the B.Tech fee?,fee_structure,English,fee_structure,fee_structure.txt
B.Tech ki fees kitni hai?,fee_structure,Hinglish,fee_structure,fee_structure.txt
What is the annual tuition fee?,fee_structure,English,fee_structure,fee_structure.txt
Annual tuition fee kitni hai?,fee_structure,Hinglish,fee_structure,fee_structure.txt
What is the semester fee?,fee_structure,English,fee_structure,fee_structure.txt
Semester fee kitna hai?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Is admission fee separate?,fee_structure,English,fee_structure,fee_structure.txt
Admission fee alag hai kya?,fee_structure,Hinglish,fee_structure,fee_structure.txt
What is the registration charge?,fee_structure,English,fee_structure,fee_structure.txt
Registration charge kitna hai?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Is development fee included?,fee_structure,English,fee_structure,fee_structure.txt
Development fee included hai kya?,fee_structure,Hinglish,fee_structure,fee_structure.txt
What is the laboratory fee?,fee_structure,English,fee_structure,fee_structure.txt
Laboratory fee kitni hai?,fee_structure,Hinglish,fee_structure,fee_structure.txt
What is the library fee?,fee_structure,English,fee_structure,fee_structure.txt
Library fee kitni hai?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Are academic and exam fees separate?,fee_structure,English,fee_structure,fee_structure.txt
Academic aur exam fee alag hai kya?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Can I pay the fee in installments?,fee_structure,English,fee_structure,fee_structure.txt
Fee installment mein de sakte hain?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Is hostel accommodation available?,hostel,English,hostel,hostel.txt
Hostel available hai?,hostel,Hinglish,hostel,hostel.txt
How much is hostel accommodation?,hostel,English,hostel,hostel.txt
Hostel ka charge kitna hai?,hostel,Hinglish,hostel,hostel.txt
Are rooms shared?,hostel,English,hostel,hostel.txt
Room sharing hoti hai kya?,hostel,Hinglish,hostel,hostel.txt
Is there a girls hostel?,hostel,English,hostel,hostel.txt
Girls hostel hai kya?,hostel,Hinglish,hostel,hostel.txt
Is mess available?,hostel,English,hostel,hostel.txt
Mess available hai kya?,hostel,Hinglish,hostel,hostel.txt
Can I apply for hostel after admission?,hostel,English,hostel,hostel.txt
Admission ke baad hostel apply kar sakte hain?,hostel,Hinglish,hostel,hostel.txt
What hostel facilities are provided?,hostel,English,hostel,hostel.txt
Hostel mein kya facilities milti hain?,hostel,Hinglish,hostel,hostel.txt
Are hostel rules strict?,hostel,English,hostel,hostel.txt
Hostel ke rules kaise hain?,hostel,Hinglish,hostel,hostel.txt
Can parents visit hostel residents?,hostel,English,hostel,hostel.txt
Parents hostel mein mil sakte hain?,hostel,Hinglish,hostel,hostel.txt
Is hostel compulsory?,hostel,English,hostel,hostel.txt
Hostel lena compulsory hai kya?,hostel,Hinglish,hostel,hostel.txt
Is financial aid available?,scholarship,English,scholarship,scholarship.txt
Scholarship available hai?,scholarship,Hinglish,scholarship,scholarship.txt
How do I apply for a scholarship?,scholarship,English,scholarship,scholarship.txt
Scholarship ke liye apply kaise karein?,scholarship,Hinglish,scholarship,scholarship.txt
Who qualifies for financial aid?,scholarship,English,scholarship,scholarship.txt
Scholarship ke liye kaun eligible hai?,scholarship,Hinglish,scholarship,scholarship.txt
Is there a merit scholarship?,scholarship,English,scholarship,scholarship.txt
Merit scholarship milti hai kya?,scholarship,Hinglish,scholarship,scholarship.txt
Are category scholarships available?,scholarship,English,scholarship,scholarship.txt
SC ST scholarship available hai?,scholarship,Hinglish,scholarship,scholarship.txt
What documents are needed for scholarship?,scholarship,English,scholarship,scholarship.txt
Scholarship ke documents kya hain?,scholarship,Hinglish,scholarship,scholarship.txt
Can I renew my scholarship?,scholarship,English,scholarship,scholarship.txt
Scholarship renew kaise hoti hai?,scholarship,Hinglish,scholarship,scholarship.txt
