query,intent,language,topic,expected_document
Where do I begin the college application?,admission_process,English,admission_process,admission_process.txt
Please explain the steps to get a seat.,admission_process,English,admission_process,admission_process.txt
Is there an online form for new applicants?,admission_process,English,admission_process,admission_process.txt
I want to register for first year. What should I do?,admission_process,English,admission_process,admission_process.txt
Tell me the sequence after submitting the form.,admission_process,English,admission_process,admission_process.txt
Where can I create my applicant account?,admission_process,English,admission_process,admission_process.txt
How is a new student enrolled here?,admission_process,English,admission_process,admission_process.txt
Do I apply through the portal or visit campus?,admission_process,English,admission_process,admission_process.txt
What happens once I send my application?,admission_process,English,admission_process,admission_process.txt
Need guidance for joining the institute.,admission_process,English,admission_process,admission_process.txt
Can the form be completed from my phone?,admission_process,English,admission_process,admission_process.txt
Which step comes before fee payment?,admission_process,English,admission_process,admission_process.txt
I missed the registration page. Where is it?,admission_process,English,admission_process,admission_process.txt
Is admission done in one visit or several stages?,admission_process,English,admission_process,admission_process.txt
Admission lene ke liye start kahan se karun?,admission_process,Hinglish,admission_process,admission_process.txt
Online form kaise fill karna hai?,admission_process,Hinglish,admission_process,admission_process.txt
College join karne ka pura tareeka batao.,admission_process,Hinglish,admission_process,admission_process.txt
Portal par registration ka option nahi mil raha.,admission_process,Hinglish,admission_process,admission_process.txt
Pehle form bharna hai ya fees deni hai?,admission_process,Hinglish,admission_process,admission_process.txt
Naye session ke liye apply kidhar karte hain?,admission_process,Hinglish,admission_process,admission_process.txt
Mujhe seat lene ka tareeka samajhna hai.,admission_process,Hinglish,admission_process,admission_process.txt
Kya mobile se application submit ho jayegi?,admission_process,Hinglish,admission_process,admission_process.txt
Form submit karne ke baad kya hota hai?,admission_process,Hinglish,admission_process,admission_process.txt
Enrollment ke steps bhej do please.,admission_process,Hinglish,admission_process,admission_process.txt
First year registration ka link chahiye.,admission_process,Hinglish,admission_process,admission_process.txt
Apply karne ke liye campus aana zaroori hai?,admission_process,Hinglish,admission_process,admission_process.txt
Mere marks ke saath kya main apply kar sakta hoon?,eligibility,Hinglish,eligibility,eligibility.txt
Kya Commerce stream ke students is programme ke liye apply kar sakte hain?,eligibility,Hinglish,eligibility,eligibility.txt
Who may apply for the B.Tech programme?,eligibility,English,eligibility,eligibility.txt
Is passing Class 12 enough for this branch?,eligibility,English,eligibility,eligibility.txt
What score is needed in the qualifying exam?,eligibility,English,eligibility,eligibility.txt
Are diploma holders allowed to join?,eligibility,English,eligibility,eligibility.txt
Does age matter for a first-year applicant?,eligibility,English,eligibility,eligibility.txt
Can a commerce student choose this course?,eligibility,English,eligibility,eligibility.txt
I studied PCB. May I choose engineering?,eligibility,English,eligibility,eligibility.txt
Is there a minimum percentage in 12th?,eligibility,English,eligibility,eligibility.txt
What background should applicants have?,eligibility,English,eligibility,eligibility.txt
Are board marks considered for selection?,eligibility,English,eligibility,eligibility.txt
Can students awaiting results submit a form?,eligibility,English,eligibility,eligibility.txt
Do lateral-entry students need a diploma?,eligibility,English,eligibility,eligibility.txt
Will a gap year stop me from applying?,eligibility,English,eligibility,eligibility.txt
Is Mathematics compulsory for this programme?,eligibility,English,eligibility,eligibility.txt
Minimum age kitni honi chahiye?,eligibility,Hinglish,eligibility,eligibility.txt
12th mein kitne percent chahiye?,eligibility,Hinglish,eligibility,eligibility.txt
Diploma ke baad direct second year mil sakta hai?,eligibility,Hinglish,eligibility,eligibility.txt
Mere paas Maths nahi tha. Kya course le sakta hoon?,eligibility,Hinglish,eligibility,eligibility.txt
Gap year wale students allowed hain?,eligibility,Hinglish,eligibility,eligibility.txt
PCB student engineering ke liye eligible hai?,eligibility,Hinglish,eligibility,eligibility.txt
Result pending ho to form bhar sakte hain?,eligibility,Hinglish,eligibility,eligibility.txt
Lateral entry ke liye kya qualification chahiye?,eligibility,Hinglish,eligibility,eligibility.txt
Board percentage selection mein count hota hai?,eligibility,Hinglish,eligibility,eligibility.txt
Kaunse students is branch mein aa sakte hain?,eligibility,Hinglish,eligibility,eligibility.txt
Course ki total payment kitni padegi?,fee_structure,Hinglish,fee_structure,fee_structure.txt
What is the charge for university examination?,fee_structure,English,fee_structure,fee_structure.txt
Registration aur tuition charges alag hain kya?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Total course payment mein kaun kaunse charges shamil hain?,fee_structure,Hinglish,fee_structure,fee_structure.txt
What is the yearly cost of the programme?,fee_structure,English,fee_structure,fee_structure.txt
Please share the tuition amount for B.Tech.,fee_structure,English,fee_structure,fee_structure.txt
Are exam and lab charges included in the price?,fee_structure,English,fee_structure,fee_structure.txt
How much must be paid at the time of joining?,fee_structure,English,fee_structure,fee_structure.txt
Is the amount different for each branch?,fee_structure,English,fee_structure,fee_structure.txt
Can you give a breakup of all charges?,fee_structure,English,fee_structure,fee_structure.txt
What will one semester cost me?,fee_structure,English,fee_structure,fee_structure.txt
Are there any charges apart from tuition?,fee_structure,English,fee_structure,fee_structure.txt
I need the payment details before applying.,fee_structure,English,fee_structure,fee_structure.txt
Does the quoted amount cover the full year?,fee_structure,English,fee_structure,fee_structure.txt
How expensive is the course overall?,fee_structure,English,fee_structure,fee_structure.txt
Can I see the instalment amounts?,fee_structure,English,fee_structure,fee_structure.txt
Is there a separate university registration charge?,fee_structure,English,fee_structure,fee_structure.txt
First semester mein kitna paisa jama hoga?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Tuition ke alawa aur charges hain kya?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Har branch ka amount same hai?,fee_structure,Hinglish,fee_structure,fee_structure.txt
Payment ka full breakup bhej sakte ho?,fee_structure,Hinglish,fee_structure,fee_structure.txt
